gbif_id,dataset_key,occurrence_id,kingdom,phylum,class,order,family,genus,species,individual_count,country_code,locality,institution_code,decimal_longitude,decimal_latitude,event_date,coordinate_uncertainty_in_meters
2726984681,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS928479092,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,2,AQ,M.V. Ortelius in pack ice,CLO,170.3,-74.667,2015-02-20T00:00:00Z,NA
2712710145,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS928487863,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,33,AQ,M.V. Ortelius in McMurdo Sound,CLO,164.667,-77.367,2015-02-22T00:00:00Z,NA
2209463454,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS669620050,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,1737,AQ,"Cape Crozier, Ross Island",CLO,169.23416,-77.45194,2015-12-01T00:00:00Z,NA
1401422360,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS358550756,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,33,AQ,"Sea ice, Snow Hill Is",CLO,-56.792076,-64.445404,2015-12-02T00:00:00Z,NA
3634505947,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1216009475,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,4,AQ,AQ-birding from bridge below Antarctic Circle,CLO,-66.8077,-66.9209,2016-01-14T00:00:00Z,NA
1717433527,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS375999025,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,4,AQ,AQ-birding from bridge below Antarctic Circle,CLO,-66.8077,-66.9209,2016-01-14T00:00:00Z,NA
1716975236,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS375590056,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,4,AQ,AQ-birding from bridge below Antarctic Circle,CLO,-66.8077,-66.9209,2016-01-14T00:00:00Z,NA
1716863721,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS375480159,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,4,AQ,AQ-birding from bridge below Antarctic Circle,CLO,-66.8077,-66.9209,2016-01-14T00:00:00Z,NA
1712507273,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS369389153,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,4,AQ,AQ-birding from bridge below Antarctic Circle,CLO,-66.8077,-66.9209,2016-01-14T00:00:00Z,NA
1725001062,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_NZ:OBS387984626,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,4,AQ,"Cape Evans, Ross Island",CLO,166.41537,-77.63645,2016-02-21T00:00:00Z,NA
