gbif_id,dataset_key,occurrence_id,kingdom,phylum,class,order,family,genus,species,individual_count,country_code,locality,institution_code,decimal_longitude,decimal_latitude,event_date,coordinate_uncertainty_in_meters
1345281068,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS290052295,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,400,FK,Bleaker Island,CLO,-58.881912,-52.22267,2015-01-07T00:00:00Z,NA
1348866106,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295407950,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,200,FK,Saunders Island--Port Egmont,CLO,-60.081913,-51.361942,2015-01-20T00:00:00Z,NA
1351971293,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS299484992,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,21,FK,Kidney Island,CLO,-57.745,-51.648113,2015-01-23T00:00:00Z,NA
1347198017,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS292995201,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,700,AR,"Isla Pingüino, Ría Deseado",CLO,-66.06766,-47.972458,2015-01-23T00:00:00Z,NA
1352120003,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS299772278,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,6,CL,PAL LTER 2-5-2015 5,CLO,-63.983334,-58.083332,2015-02-05T00:00:00Z,NA
1401357494,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS358328527,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,220,FK,West Point Island,CLO,-60.697468,-51.353252,2015-02-08T00:00:00Z,NA
1356884327,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS306523620,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,6,AQ,Drake Passage,CLO,-59.283054,-62.822224,2015-02-08T00:00:00Z,NA
1763893874,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS432645963,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,100,FK,West Point Island,CLO,-60.697468,-51.353252,2015-02-14T00:00:00Z,NA
1410996531,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS404683286,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,2,FK,Cape Dolphin,CLO,-58.8667,-51.3333,2015-02-14T00:00:00Z,NA
1350348300,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS297440464,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,500,FK,"West Point Is., Malvinas",CLO,-60.67899,-51.35092,2015-02-14T00:00:00Z,NA
1353432023,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS301971556,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,1000,FK,"New Island, Malvinas",CLO,-60.685387,-51.349564,2015-03-06T00:00:00Z,NA
1392273264,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS347904687,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,4,AR,Bahía Laura,CLO,-66.47605,-48.396908,2015-03-29T00:00:00Z,NA
1356537677,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS306167223,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,4,AR,Bahía Laura,CLO,-66.47605,-48.396908,2015-03-29T00:00:00Z,NA
